,Authors,Year of Publication,Title,Author Keywords,KeyWords Plus,Abstracts,ISO-4 Journal Abbreviation
3992,"HEIMER, CA",2007,"Old inequalities, new disease: HIV/AIDS in sub-Saharan Africa",sexuality; health care; clinical research; pharmaceuticals; institutions,SOUTH-AFRICA; HIV-1 INFECTION; PUBLIC-HEALTH; AIDS EPIDEMIC; BRAIN-DRAIN; ANTIRETROVIRAL THERAPY; DEVELOPING-COUNTRIES; SEXUAL-BEHAVIOR; POOR COUNTRIES; RURAL ZIMBABWE,"It is especially the social aspects of the disease that make HIV/AIDS in sub-Saharan Africa different-and worse-than HIV/AIDS in the United States or Europe. By making Africans more vulnerable to economic and sexual exploitation, poverty first increases the likelihood that they will be infected. By making them unattractive customers for pharmaceuticals, poverty also puts therapies out of the reach of most Africans who need them. This review examines research on the integration of sub-Saharan Africa into the international worlds of the pharmaceutical trade, public health, and medical research. It finds that the pull of these institutions diminishes but does not disappear as we move from the realms of trade treaties to the clinics where testing and treatment occur and, finally, to the daily lives of people living with HIV.",Annu. Rev. Sociol.
4063,"POLLETTA, F; LEE, J",2006,Is telling stories good for democracy? Rhetoric in public deliberation after 9/11,T,NARRATIVES; OPINION; SPHERES; CONVERSATION; CHALLENGES; DISCOURSE; PLEA,"This article develops a sociological perspective on the rhetorical conditions for good public deliberation, a topic of longstanding interest to scholars of the public sphere. The authors argue that the capacity of reason-giving, storytelling, and other rhetorical genres to foster deliberation depends on social conventions of the genre use and popular beliefs about its credibility relative to other genres. Such beliefs are structured but contingently so: concerns about the generalizability of personal stories or the abstraction of logical arguments come into play on some occasions and not others. The authors appraise this argument by way of a systematic comparison of personal storytelling and reason-giving in public deliberation, the first such empirical study. Drawing upon an analysis of 1, 415 claims made by 263 people in 12 discussion groups, the authors show that ordinary conventions of storytelling helped deliberators to identify their own preferences, demonstrate their appreciation of competing preferences, advance unfamiliar views, and reach areas of unanticipated agreement. The ambivalence, however with which participants generally viewed storytelling as a rhetorical form restricted personal stories to discussions that were seen as without impact on the policy-making process. More broadly, by drawing attention to the evaluative structures through which people use of cultural forms is differentially assessed, the authors provide an alternative to both instrumentalist and structuralist approaches to culture.",Am. Sociol. Rev.
4078,"WILLIAMS, RM",2006,The long twentieth century in American sociology: A semiautobiographical survey,controversies; ethnicity; institutions; military; values,CONFLICTS,"In this essay, I draw on a professional life history to suggest how sociological knowledge is generated by encounters with changing research opportunities, here called targets of opportunity. In my case, a study of rural communities led to unanticipated conclusions concerning buffering mechanisms that protected authorities by absorbing dissatisfactions and rebellions. Wartime research in a military setting identified sources of group solidarity and effective performance under stress. Major societal changes in racial/ethnic relations provided opportunities to develop new concepts and empirical findings. Synoptic studies of post-World War II American society led to extensive research on values and institutions. These macrosociological analyses of ethnicity and social systems, in turn, led me to a new sociology of war and interstate relations. I also offer here some critical reflections on recurrent issues and chronic controversies in American sociology. Final sections of the review deal with the continuing search for conceptual clarity and cumulative knowledge. I note the obstacles of disciplinary fragmentation, but my closing judgment is that sociology now has the base of substantial scientific knowledge and methodological expertise necessary for investigating crucial twenty-first century problems.",Annu. Rev. Sociol.
4079,"TURNER, JH; STETS, JE",2006,Sociological theories of human emotions,affect; emotions; theory,DISTRIBUTIVE JUSTICE; EXCHANGE RELATIONS; SOCIAL-STRUCTURE; TASK GROUPS; COMMITMENT; POWER; EQUITY; EMERGENCE; BEHAVIOR; OUTCOMES,"Over the past three decades, five general theoretical approaches to understanding the dynamics of human emotions have emerged in sociology: dramaturgical theories, symbolic interactionist theories, interaction ritual theories, power and status theories, and exchange theories. We review each of these approaches. Despite the progress made by these theories, several issues remain unresolved: the nature of emotions, feeling, and affect; the degree to which emotions are biologically based or socially constructed; the gap between social psychological theories on emotions and macrostructural theorizing; and the relatively narrow range of emotions theorized, coupled with an equally narrow focus on the structural and cultural conditions producing these emotions.",Annu. Rev. Sociol.
4080,"JOHNSON, C; DOWD, TJ; RIDGEWAY, CL",2006,Legitimacy as a social process,cultural capital; groups; inequality; legitimation; organizational forms; organizational practices; status beliefs,UNITED-STATES; STATUS BELIEFS; CULTURAL ENTREPRENEURSHIP; ORGANIZATIONAL FIELDS; 19TH-CENTURY BOSTON; COLLECTIVE ACTION; SCHOOL SUCCESS; LAW; GENDER; CONSTRUCTION,"To gain an in-depth understanding of legitimacy as a general social process, we review contemporary approaches to legitimacy within two areas of sociology: social psychology and organizations. A comparison of these distinct approaches allows us to explain the process, both in implicit and explicit ways at different levels of analysis, through which a social object is construed as legitimate. This comparison also suggests four stages in the process by which new social objects, both individual (worthy/unworthy individuals) and collective (organizational forms), gain legitimation: innovation, local validation, diffusion, and general validation. We then show how legitimation of the status quo-that is, the acceptance of widespread consensual schemas/beliefs in the larger society-often fosters the stability of nonoptimal actions and practices that are created as a result of these new individual and collective social objects. Finally, we discuss how consensual beliefs such as status beliefs and cultural capital fuel the reproduction of inefficiency and inequality in groups and organizations.",Annu. Rev. Sociol.
4081,"MOUW, T",2006,Estimating the causal effect of social capital: A review of recent research,peer effects; social networks; social homophily; fixed effects models,PEER INFLUENCES; INTERNATIONAL MIGRATION; STUDENT-ACHIEVEMENT; LABOR-MARKET; NETWORKS; BEHAVIOR; MODELS; JOB; SOCIALIZATION; INFORMATION,"Although there is a large literature on social capital, empirical estimates of the effect of social capital may be biased because of social homophily, the tendency of similar people to become friends with each other. Despite the methodological difficulties, a recent literature has emerged across several different disciplines that tries to estimate the causal effect of social capital. This paper reviews this recent empirical literature on social capital, paying close attention to the statistical and theoretical assumptions involved. Overall, there is evidence that genuine progress has been made in estimating the effect of social capital. The reviewed articles should provide useful examples for future research.",Annu. Rev. Sociol.
4082,"GRINDSTAFF, L; TUROW, J",2006,"Video cultures: Television sociology in the ""new TV"" age",new media; political economy; programming; reception,NETWORK TELEVISION; PRIME-TIME,"We argue that the most significant and influential research on television over the past five decades positions the medium as a key site for addressing the complex interrelationship between culture and institutional/organizational power. Granting that such work is theoretically and methodologically diverse, we employ an organizational frame that groups political-economic approaches on the one hand and cultural approaches on the other. Political-economic approaches largely attend to issues of power at a macro level, focusing on how ownership and control of television along with the organization of television production practices shape and influence content; cultural approaches focus more on the expressive and symbolic dimensions of television programming and reception. At the same time, contemporary changes in the medium threaten to make past research on television appear quaint and anachronistic. The industry's transformation of television into continually emerging sets of multifaceted digital-interactive technologies challenges researchers to draw enduring perspectives from the older work and assess how they apply to the new-media environment. Consequently, we suggest the term ""video cultures"" in lieu of ""television sociology"" as a way of capturing future trends.",Annu. Rev. Sociol.
4083,"EMERSON, MO; HARTMAN, D",2006,The rise of religious fundamentalism,conservative religion; modernity; sectarianism; religious nationalism,CONSERVATIVE PROTESTANTS; EDUCATIONAL-ATTAINMENT; ORIENTATION; PLURALISM; ATTITUDES,"Religious fundamentalism has risen to worldwide prominence since the 1970s. We review research on fundamentalist movements to learn what religious fundamentalisms are, if and why they appear to be resurging, their characteristics, their possible links to violence, and their relation to modernity. Surveying work over the past two decades, we find both substantial progress in sociological research on such movements and major holes in conceptualizing and understanding religious fundamentalism. We consider these weaknesses and suggest where research might next be directed.",Annu. Rev. Sociol.
4084,"FREEMAN, JH; AUDIA, PG",2006,Community ecology and the sociology of organizations,organization theory; interorganizational relations; social networks; organizational geography,AMERICAN BREWING INDUSTRY; DENSITY DEPENDENCE; ENTREPRENEURIAL ACTIVITY; IDEOLOGICAL COMPETITION; LABOR UNIONS; EVOLUTION; NETWORKS; DYNAMICS; HETEROGENEITY; EMBEDDEDNESS,"Research on organizations is increasingly informed by analysis of community context. Community can be conceptualized as sets of relations between organizational forms or as places where organizations are located in resource space or in geography. In both modes, organizations operate interdependently with social institutions and with other units of social structure. Because such relationships channel flows of resources, opportunities are granted or withheld from social actors depending in part on their organization connections. Such considerations encourage analyses of organizations in ways that spread the relevance of results beyond organizationally defined research problem areas.",Annu. Rev. Sociol.
4085,"HIRSCH, PM; DE SOUCEY, M",2006,Organizational restructuring and its consequences: Rhetorical and structural,organizations; efficiency; downsizing; labor; management discourse,STRATEGIC CHANGE; IMMIGRANT LABOR; SOCIAL-PROBLEMS; UNITED-STATES; WORKPLACE; WORKERS; GENDER; MARKET; FIRMS; GLOBALIZATION,"In this review, we examine the idea of organizational restructuring as a conceptual tool and how it has been used to alter societal definitions and interpretations of employment. Although use of the term restructuring is relatively recent, the broad issue of changing employment conditions with which it is concerned has a long history, going back to the industrial revolution. Our main focus is a consideration of the causes and consequences of restructuring, in its more recent rhetorical and structural versions. In their pursuit of greater efficiencies, organizations adapt to the demands of increasingly global markets, and these adaptations are crucial components of what is popularly referred to as the new economy. Such developments are applauded in most economic theory, but sociologists examine both sides of their social impact, including the adverse effects and implications of such externalities as the social disruptions caused by downsizing and other organizational and corporate changes. These studies provide important contributions to our knowledge of how much, and when, promises of organizational efficiency are in fact deliverable and responsive to those affected by them. We argue that the language of restructuring is regularly used to mask, reframe, and sugarcoat economic slumps as possessing positive social outcomes. We conclude by positioning restructuring as an important component of the current American export of managerial ideology to transnational contexts and suggest further examination of how restructuring affects the culture of business in these other national contexts.",Annu. Rev. Sociol.
4086,"BROOKS, C",2006,"Voters, satisficing, and policymaking: Recent directions in the study of electoral politics",voting; elections; linkage; mass opinion; social policy,PUBLIC-OPINION; WELFARE-STATE; UNITED-STATES; PRESIDENTIAL-ELECTION; POSTWAR DEMOCRACIES; SOCIAL-CLASS; PARTY; PREFERENCES; COUNTRIES; DYNAMICS,"Elections matter for democratic polities, creating linkages between voters, elected officials, and policymaking. These linkages have often been challenging to study empirically owing to the limited availability of suitable data with which to link individual-level voting to aggregate-level policymaking, and also to enduring controversies in the study of mass political behavior. I discuss several new research programs that have begun to advance scholarly understanding of these political linkages. Underlying this work is progress in understanding the microfoundations of voting behavior, coupled with new analytical models of aggregate preferences. Following a discussion of these issues, I consider several innovative strains of research on opinion-policy linkages. This scholarship has significant potential for advancing empirical democratic theory and the study of linkages between voting behavior and other political processes.",Annu. Rev. Sociol.
4087,"SKRENTNY, JD",2006,Law and the American state,politics; policymaking; courts; American political development; institutionalism,CIVIL-RIGHTS LAW; LEGAL ENVIRONMENTS; AFFIRMATIVE-ACTION; SOCIAL CHANGE; WEAK STATE; COLD-WAR; LABOR; RESOURCES; IMPRISONMENT; ENFORCEMENT,"Although classical theories of the state and key texts of historical institutionalism and American political development (APD) defined the American state as a fundamentally legal entity, contemporary studies of the American state show a range of roles for law and courts, from no role at all, to a constraint or obstacle, to a positive force for state development. This review maps these varying roles, showing that law and courts are most absent or play negative roles in studies of the growth of the national administrative welfare state. It highlights new studies in this area that show the American state as a legal state and surveys growing numbers of historical institutionalist and APD studies of the state and economic and social regulation, where law and courts are more prominent. It points to the important but mostly neglected subjects of criminal and tort law as areas for future study that unite law and the state. Finally, it concludes by showing how concepts from the sociology of law-legal mobilization, law/court effectiveness, and legal consciousness-can inform state-centered political studies. Portraying the American state as a legal state yields a richer conception, reveals new and important subject matter and explanatory strategies, and can encourage dialogue between scholars of law and scholars of the state.",Annu. Rev. Sociol.
4088,"EVANS, G",2006,The social bases of political divisions in post-communist Eastern Europe,political cleavages; voting; post-communist societies,POST-SOVIET RUSSIA; PARLIAMENTARY ELECTIONS; MINORITY RIGHTS; PUBLIC-OPINION; CIVIL-SOCIETY; BALTIC STATES; DUMA ELECTION; PARTY SYSTEMS; MASS SUPPORT; UKRAINE,"To what extent are the social bases of political divisions in former communist societies consistent with those observed in Western democracies? This review critically examines theoretical and empirical work on social cleavages in East European, post-communist societies. It considers the initial wave of hypotheses concerning the structuring of party support in the region and examines empirical evidence on the patterning of the social bases of political preferences that have accrued subsequently, as well as the somewhat sparser attempts at explaining the processes through which these patterns emerge and change. It points to the omissions and weaknesses of the analyses so far conducted and concludes that the post-communist era has seen the emergence of social bases to politics that are like those in the West and that help shape variations in patterns of party competition in these societies.",Annu. Rev. Sociol.
4089,"DIPRETE, TA; EIRICH, GM",2006,Cumulative advantage as a mechanism for inequality: A review of theoretical and empirical developments,inequality; life course; careers,LIFE-COURSE; EDUCATIONAL-ATTAINMENT; ACCUMULATIVE ADVANTAGE; INDIVIDUAL-DIFFERENCES; GENDER INEQUALITY; SCHOOL TRACKING; LABOR-MARKETS; UNITED-STATES; UNEMPLOYMENT; DISADVANTAGE,"Although originally developed by R.K. Merton to explain advancement in scientific careers, cumulative advantage is a general mechanism for inequality across any temporal process (e.g., life course, family generations) in which a favorable relative position becomes a resource that produces further relative gains. This review shows that the term cumulative advantage has developed multiple meanings in the sociological literature. We distinguish between these alternative forms, discuss mechanisms that have been proposed in the literature that may produce cumulative advantage, and review the empirical literature in the areas of education, careers, and related life course processes.",Annu. Rev. Sociol.
4090,"QUILLIAN, L",2006,New approaches to understanding racial prejudice and discrimination,racial attitudes; audits; racism; implicit attitudes; inequality,IMPLICIT ASSOCIATION TEST; STATISTICAL DISCRIMINATION; AMERICANS IMPLICIT; POLICY ATTITUDES; SYMBOLIC RACISM; GROUP POSITION; STEREOTYPES; BLACK; PERCEPTIONS; COMPETITION,"This chapter reviews and critiques recent work on prejudice, discrimination, and racism, with an emphasis on evidence of continuing discrimination in the United States and efforts to understand its basis in prejudice. Three lines of research are the primary subject of the review: recent work on the measurement of discrimination, especially audit methods; theories of new prejudice and new racism following the Civil Rights movement; and research on implicit prejudicial attitudes. The most sophisticated new work on prejudice and discrimination is characterized by a multidimensional understanding of prejudice and/or the use of experimental methods. This review argues that research on implicit prejudice, largely developed by psychologists, provides an important new understanding of the basis of discrimination and should be incorporated in sociological accounts.",Annu. Rev. Sociol.
4091,"HAGAN, J; SCHOENFELD, H; PALLONI, A",2006,"The science of human rights, war crimes, and humanitarian emergencies",public sociology; demography; displacement; forced migration; refugees,PUBLIC-HEALTH; COMPLEX EMERGENCIES; MORTALITY; REFUGEE; CRIMINOLOGY; DISASTERS; SOCIOLOGY; KOSOVO; DARFUR,"Sociology can be an important disciplinary bridge between the study of what demographers call forced migration and mortality and what legal sociologists and criminologists understand as war crimes. The challenge is to develop a critically informed sociological synthesis that joins our understanding of the frequently politicized health and violence dimensions of what are also diplomatically called ""complex"" humanitarian emergencies. The frequency of these emergencies is growing, and there is an increasing amount of data collected by governmental and nongovernmental organizations exposing large-scale violations of human rights and war crimes. Yet analyses of these data are often inadequate. Although the humanitarian emergency in Kosovo marked a high point in collaborative human rights research, the circumstances that allowed this collaboration are probably atypical. We consider how, in increasingly challenging circumstances such as the Darfur region of Sudan, population health and legal and criminological surveys can be joined to provide more comprehensive estimates of deaths resulting from violent attacks as well as from disease and starvation. The discipline of sociology, with its expertise in population-based surveys and other measurement and analytic techniques, has the capacity to bridge differences and to provide more meaningfully synthesized conclusions.",Annu. Rev. Sociol.
4092,"HERITAGE, J; MAYNARD, DW",2006,Problems and prospects in the study of physician-patient interaction: 30 years of research,conversation analysis; coding; medical sociology,PATIENTS PRESENTING CONCERNS; TREATMENT RECOMMENDATIONS; PATIENTS PARTICIPATION; CONVERSATION ANALYSIS; PEDIATRIC ENCOUNTERS; SOCIAL CONSTRUCTION; MEDICAL ENCOUNTERS; OPENING QUESTIONS; PARENT RESISTANCE; DECISION-MAKING,"Working within the functionalist perspective that he did so much to develop, Parsons (1951) conceptualized the physician-patient relationship according to a normative framework defined by the pattern variable scheme. As Parsons clearly recognized, this normative conceptualization was one that empirical reality at best only approximates. In the 1970s, two major studies established doctor-patient interaction as a viable research domain. In the present review, we consider approaches to the medical interview developing from these initiatives and that have a primary focus on observable features of doctor-patient interaction. Within this orientation, we consider literature dealing with social, moral, and technical dilemmas that physicians and patients face in primary care and the resources that they deploy in solving them. This literature embodies a steady evolution away from a doctor-centered emphasis toward a more balanced focus on the conduct of doctors and patients together.",Annu. Rev. Sociol.
4093,"MORGAN, SP; TAYLOR, MG",2006,Low fertility at the turn of the twenty-first century,fertility decline; population replacement; childbearing; population equilibrium; demographic theory,2ND DEMOGRAPHIC-TRANSITION; UNITED-STATES; FAMILY-SIZE; DEVELOPED-COUNTRIES; REPLACEMENT LEVEL; GERMAN FERTILITY; MODERN SOCIETIES; BIRTH-RATE; 3RD BIRTH; EUROPE,"In the past few decades, demographic concerns have shifted from rapid population growth fueled by high fertility to concerns of population decline produced by very low, sub-replacement fertility levels. Once considered a problem unique to Europe or developed nations, concerns now center on the global spread of low fertility. Nearly half of the world's population now lives in countries with fertility at or below replacement levels. Further, by the mid-twenty-first century three of four countries now described as developing are projected to reach or slip below replacement fertility. We review the research on low fertility through the predominant frameworks and theories used to explain it. These explanations range from decomposition and proximate determinant frameworks to grand theories on the fundamental causes underlying the pervasiveness and spread of low fertility. We focus on the ability of theory to situate previous and future findings and conclude with directions for furthur research.",Annu. Rev. Sociol.
4094,"RALEY, S; BIANCHI, S",2006,"Sons, daughters, and family processes: Does gender of children matter?",sex; socialization; child well-being; sibship,PARENTS-IN-LAW; SEX COMPOSITION; MATERNAL EMPLOYMENT; EDUCATIONAL-ATTAINMENT; PATERNAL INVOLVEMENT; ACADEMIC-ACHIEVEMENT; INFANT INTERACTION; CARE ARRANGEMENTS; INTACT FAMILIES; HOUSEHOLD LABOR,"In the United States, parents prefer a child of each gender, and on many dimensions parents tend to treat sons and daughters similarly. However, fathers' investments appear to be somewhat higher in families with sons. Fathers spend more time with sons than with daughters. Fathers more often marry and stay married and mothers report more marital happiness in families with sons-although associations are weakening and differentials are not large. Divorced fathers more often have custody of sons than of daughters. Daughters do more housework than sons, mirroring the gendered division of labor in adulthood. Parental support of educational activities varies, with some parental behaviors greater for sons but others higher for daughters. Whether parents encourage gender differences or whether children's gender-differentiated behaviors elicit differential parental treatment cannot be easily determined with studies to date, most of which are cross-sectional or limited in other ways that hamper conclusions about causal mechanisms.",Annu. Rev. Sociol.
4095,"NEWMAN, KS; MASSENGILL, RP",2006,"The texture of hardship: Qualitative sociology of poverty, 1995-2005",inequality; welfare reform; cultural sociology,AFRICAN-AMERICAN; NEIGHBORHOOD; EMPLOYMENT; INCARCERATION; INEQUALITY; NETWORKS; FAMILIES; BROOKLYN; MOTHERS; FATHERS,"Focusing on the past decade, this review considers advances in the qualitative study of working poverty, welfare reform, patterns of family formation, neighborhood effects, class-based patterns of childhood socialization, and the growing European literature on social exclusion. We highlight the increasing importance of qualitative research embedded in large-scale quantitative studies of poverty. Within each of these areas, we suggest new directions for research that take into account the changing contours of poverty, including the increasing diversity of poor neighborhoods (reflecting the in-migration of the foreign born) and the growth of poverty in the older suburbs surrounding the city centers. The reintroduction of the language of class has been a hallmark of the past decade, drawing it closer to some of the original concerns of sociologists in the 1940s, contrasted with a nearly universal emphasis on race and ethnicity characteristic of more recent decades.",Annu. Rev. Sociol.
4096,"HALLIDAY, TC; OSINSKY, P",2006,Globalization of law,globalization; law; social change,ECONOMIC-DEVELOPMENT; NATIONAL POLITICS; HUMAN-RIGHTS; STATE; CAPITALISM; VIOLENCE; FINANCE,"Globalization of law may be defined as the worldwide progression of transnational legal structures and discourses along the dimensions of extensity, intensity, velocity, and impact. We propose that a theory of the global penetration of law will require at least four elements-actors, mechanisms, power, and structures and arenas. A comparison of four approaches to globalization and law-world polity, world systems, postcolonial globalism, and law and economic development-indicates considerable variation in perceived outcomes and gaps in explanation, but with possible complementarities in both outcomes and explanatory factors. Research demonstrates that globalization is variably contested in several domains of research on law: (a) the construction and regulation of global markets, (b) crimes against humanity and genocide, (c) the diffusion of political liberalism and constitutionalism, and (d) the institutionalization of women's rights. We propose that the farther globalizing legal norms and practices are located from core local cultural institutions and beliefs, the less likely global norms will provoke explicit contestation and confrontation. Future research will be productively directed to where and how global law originates, how and when global norms and law are transmitted and enforced, and how global-local settlements are negotiated.",Annu. Rev. Sociol.
4171,"MARSDEN, PV",2005,The sociology of James S Coleman,education; mathematical sociology; rational choice theory; social capital; social networks,RATIONAL-CHOICE MODEL; SOCIAL CONTAGION; SCHOOL; EDUCATION; MATHEMATICS; EXCHANGE; NORMS; TRUST; ORGANIZATION; REFLECTIONS,"This chapter surveys the career and scholarship of James S. Coleman. It tracks scholarly usage of his work, with attention to references after 1995 and the subject areas in which its use is concentrated. At base a scholar of problems in social organization, Coleman made influential contributions that range across the sociology of education, policy research, mathematical sociology, network/structural analysis, and sociological theory. Works from several phases of Coleman's career are cited widely by scholars in sociology, education, economics, business/management, and other social science fields; during the past decade his conceptual work on social capital has been most influential. Coleman's widely debated Foundations of Social Theory is receiving increasing attention and has helped to establish a stable if limited niche for rational choice analysis within sociology.",Annu. Rev. Sociol.
4172,"HEGTVEDT, KA",2005,Doing justice to the group: Examining the roles of the group in justice research,distributive justice; procedural justice; group processes,DISTRIBUTIVE JUSTICE; PROCEDURAL JUSTICE; SOCIAL-EXCHANGE; ENVIRONMENTAL JUSTICE; GROUP MEMBERSHIP; EQUITY; CONFLICT; EQUALITY; FAIRNESS; LEGITIMATION,"Although the abstract notion of justice implies attention to fairness not simply for one individual but for many, emphasis on how individuals perceive and react to injustice obscures the role of the group injustice research. Justice, as distinct from individual deserving, holds promise for the well-being of the group. Indeed, the group plays multiple roles in justice research, as a collective standard, a structure in which evaluations occur, a source of identity, and a context of interaction. Analyses of these roles help to explain underlying orientations of group members, delimiting the scope of justice in groups and the implications of justice in conflict situations. This review concludes with directions for future research that more explicitly draw attention to the rightful role of the group in understanding justice in society.",Annu. Rev. Sociol.
4173,"BERNSTEIN, M",2005,Identity politics,social movements; collective identity; protest; culture and politics; activism,SOCIAL-MOVEMENTS; GAY MOVEMENT; GENDER; ACTIVISM; FEMINISM; ENVIRONMENT; PSYCHOLOGY; BOUNDARIES; ETHNICITY; PROTEST,"This review presents an overview of research on identity politics. First, I distinguish between various approaches to defining identity politics and the challenges presented by each approach. In the process, I show that these approaches reflect competing theoretical understandings of the relationship between experience, culture, identity, politics, and power. These debates raise theoretical issues that I address in the second section, including (a) how to understand the relationship between personal experience and political stance, (b) why status identities are understood and/or portrayed as essentialist or socially constructed, (c) the strategic dilemmas activists face when the identities around which a movement is organized are also the basis for oppression, (d) when to attribute certain movement outcomes to status identities, and (e) how to link collective action to specific notions of power to help explain the cultural and political goals at which identity politics is aimed. I conclude by recommending some promising avenues for future research.",Annu. Rev. Sociol.
4174,"SCHNITTKER, J; MCLEOD, JD",2005,The social psychology of health disparities,health; inequality; social status; discrimination,PERCEIVED RACIAL-DISCRIMINATION; CORONARY-ARTERY-DISEASE; SELF-RATED HEALTH; UNITED-STATES; SOCIOECONOMIC-STATUS; INCOME INEQUALITY; AFRICAN-AMERICAN; CARDIOVASCULAR REACTIVITY; BLOOD-PRESSURE; MENTAL-HEALTH,"In recent years, scholars from a variety of disciplines have turned to the potential psychosocial determinants of health in pursuit of an explanation for socioeconomic and racial/ethnic disparities. This review discusses the literature on psychosocial factors and mental and physical health, focusing on the roles of subjective status, self/identity, and perceived discrimination. We argue that current research may have obscured important social psychological considerations and that it is an opportune time to reconsider the social psychology of disparities. A social psychology of disparities could provide a bridge between those who encourage research on health's ""upstream"" causes and those who encourage research on ""downstream"" mechanisms precisely because social psychology is concerned with the vast ""meso"" level of analysis that many allude to but few explicitly traverse. We point to the importance of person-environment interactions, contingencies, reciprocality, and meaning. Although psychosocial factors might not explain disparities in the manner much psychosocial research would seem to suggest, psychosocial factors are important causes in their own right and, when considered in a more sophisticated social psychological light, may help to refine disparities theory and research.",Annu. Rev. Sociol.
4175,"WATERS, MC; JIMENEZ, TR",2005,Assessing immigrant assimilation: New empirical and theoretical challenge,immigration; generation; incorporation; immigrant gateways,UNITED-STATES; MEXICAN-AMERICANS; SUBURBS; 2ND-GENERATION; SEGREGATION; METROPOLIS; PROSPECTS,"This review examines research on the assimilation of immigrant groups. We review research on four primary benchmarks of assimilation: socioeconomic status, spatial concentration, language assimilation, and intermarriage. The existing literature shows that today's immigrants are largely assimilating into American society along each of these dimensions. This review also considers directions for future research on the assimilation of immigrant groups in new southern and midwestern gateways and how sociologists measure immigrant assimilation. We document the changing geography of immigrant settlement and review the emerging body of research in this area. We argue that examining immigrant assimilation in these new immigrant gateways is crucial for the development of theories about immigrant assimilation. We also argue that we are likely to see a protracted period of immigrant replenishment that may change the nature of assimilation. Studying this change requires sociologists to use both birth cohort and generation as temporal markers of assimilation.",Annu. Rev. Sociol.
4176,"GRISWOLD, W; MCDONNELL, T; WRIGHT, N",2005,Reading and the reading class in the twenty-first century,literacy; media use; culture; cultural practice,NETHERLANDS; TRENDS,"Sociological research on reading, which formerly focused on literacy, now conceptualizes reading as a social practice. This review examines the current state of knowledge on (a) who reads, i.e., the demographic characteristics of readers; (b) how they read, i.e., reading as a form of social practice; (c) how reading relates to electronic media, especially television and the Internet; and (d) the future of reading. We conclude that a reading class is emerging, restricted in size but disproportionate in influence, and that the Internet is facilitating this development.",Annu. Rev. Sociol.
4177,"DAVIS, GF",2005,New directions in corporate governance,financial markets; institutional analysis; organization theory; agency theory,SOCIAL-STRUCTURE; INTERLOCKING DIRECTORATES; SECURITIES ANALYSTS; OWNERSHIP; MARKET; FIRM; ORGANIZATION; LAW; CONSEQUENCES; EMBEDDEDNESS,"Corporate governance describes the structures, processes, and institutions within and around organizations that allocate power and resource control among participants. Law and economics scholars have developed a view of the public corporation as a nexus-of-contracts whose structure is driven by the requirements of financial markets, and thus features of the corporation and its surrounding institutions are theorized in terms of their function in directing corporations toward share price as a criterion of value. Working from this base, more recent research has studied historical and cross-national variation in governance institutions, producing highly varied interpretations of their sources and function. Sociological work, particularly within organization theory, has critiqued this functionalist view and provided alternative interpretations based on networks, power, and culture. The most promising contemporary work seeks to analyze governance in terms of the dynamics of institutions-where they originate, how they operate, how they change, and how they spread beyond their original purposes.",Annu. Rev. Sociol.
4178,"HEYNS, B",2005,Emerging inequalities in Central and Eastern Europe,inequality; income distribution; transition; poverty,GENDER WAGE GAP; REFORMING STATE SOCIALISM; MARKET TRANSITION DEBATE; INCOME INEQUALITY; URBAN CHINA; ECONOMIC TRANSITION; POLITICAL DEMOCRACY; EARNINGS INEQUALITY; RUSSIAN-TRANSITION; SLOVAK REPUBLICS,"Market transitions are thought to inevitably produce spiraling inequality on the road to economic growth. This review provides an overview of research evaluating inequality in income and wages in Central and Eastern Europe since 1989. The empirical studies agree that inequality has increased, but disagree about the amount, pace, source, and explanation of change. Patterns of inequality are unrelated to economic performance, to the pace or timing of reform, or to rates of subsequent growth. Inequality increased the most in the least successful countries and the least in those countries with historic cultural connections to the West. Inequalities by age, education, region of the country, and health status increased; differences by gender appear to have declined. Although data are plentiful and promising, it is not yet possible to conclude that patterns of inequality among postcommunist countries are due to the genesis of capitalism, to social and cultural assimilation to the West, to adaptations of redistributive institutions to deal with poverty and unemployment, or to globalization.",Annu. Rev. Sociol.
4179,"BABB, S",2005,The social consequences of structural adjustment: Recent evidence and current debates,globalization; neoliberalism; dependency; World Bank; International Monetary Fund,LATIN-AMERICA; TRADE LIBERALIZATION; NEOLIBERAL ERA; GLOBALIZATION; INEQUALITY; MEXICO; IMPACT; ORGANIZATION; DIFFERENCE; MIGRATION,"Thirty years ago, intellectual debates concerning the relationship between wealthy and poor nations could be summed up under the rubric of modernization versus dependency. However, the events of the 1980s and 1990s completely shifted the terms of this debate. Associated with the structural adjustment lending programs of the World Bank and International Monetary Fund, and neoliberal ideology, a new policy discourse suggested that it was only through liberating market forces that poor countries could grow and catch up to the developed world. With 20 years of structural adjustment behind us, what does the evidence suggest about the social consequences of these policies? This review focuses on three different social transformations: changes in the governance of economies, transformations in class structures, and the rise of transnational networks.",Annu. Rev. Sociol.
